日期,收盘,开盘,高,低,交易量,涨跌幅
2021/12/20,71.52,72.82,72.87,69.28,333.76K,-0.0272
2021/12/21,73.98,71.88,74.27,71.24,214.07K,0.0344
2021/12/22,75.29,74.05,75.67,73.62,166.71K,0.0177
2021/12/23,76.85,75.47,77,74.78,161.24K,0.0207
2021/12/24,76.14,76.72,76.79,75.75,30.54K,-0.0092
2021/12/27,78.6,76.32,79.08,75.75,85.39K,0.0323
2021/12/28,78.94,78.67,79.85,78.48,50.41K,0.0043
2021/12/29,79.23,79.28,80.17,78.13,69.63K,0.0037
2021/12/30,79.32,79.19,79.66,78.5,10.90K,0.0011
2021/12/31,77.78,78.81,79.68,77.55,148.96K,-0.0194
2022/1/3,78.98,78.11,79.28,77.04,201.03K,0.0154
2022/1/4,80,78.91,80.55,78.62,291.68K,0.0129
2022/1/5,80.8,80.07,81.5,79.51,331.74K,0.01
2022/1/6,81.99,80.22,82.83,79.61,353.16K,0.0147
2022/1/7,81.75,82,83,81.42,286.11K,-0.0029
2022/1/10,80.87,81.76,82.3,80.5,300.65K,-0.0108
2022/1/11,83.72,81.08,83.98,80.89,324.94K,0.0352
2022/1/12,84.67,83.78,85.21,83.52,301.39K,0.0113
2022/1/13,84.47,84.87,85.1,83.79,265.20K,-0.0024
2022/1/14,86.06,84.12,86.5,83.99,304.72K,0.0188
2022/1/17,86.48,86.15,86.71,85.54,139.82K,0.0049
2022/1/18,87.51,86.47,88.66,86.44,356.88K,0.0119
2022/1/19,88.44,88.65,89.17,87.61,350.94K,0.0106
2022/1/20,88.38,87.89,89.5,87.05,279.52K,-0.0007
2022/1/21,87.89,86.75,88.23,85.71,288.21K,-0.0055
2022/1/24,86.27,87.93,88.9,85.04,309.89K,-0.0184
2022/1/25,88.2,86.76,88.37,86.2,256.21K,0.0224
2022/1/26,89.96,87.95,90.47,87.79,260.11K,0.02
2022/1/27,89.34,89.7,91.04,89,131.70K,-0.0069
2022/1/28,90.03,89.98,91.7,89.41,102.01K,0.0077
2022/1/31,91.21,90.8,91.48,90.61,11.01K,0.0131
2022/2/1,89.16,89.62,89.96,87.72,271.77K,-0.0225
2022/2/2,89.47,89.48,90.52,88.28,319.43K,0.0035
2022/2/3,91.11,89.07,91.3,88.02,301.79K,0.0183
2022/2/4,93.27,91.3,93.7,91.2,322.13K,0.0237
2022/2/7,92.69,92.75,94,92.13,317.29K,-0.0062
2022/2/8,90.78,92.63,92.93,89.93,368.55K,-0.0206
2022/2/9,91.55,91.08,92.09,90.05,294.00K,0.0085
2022/2/10,91.41,91.75,93.1,90.88,369.01K,-0.0015
2022/2/11,94.44,91.17,95.66,90.51,452.11K,0.0331
2022/2/14,96.48,95.2,96.78,93.44,373.09K,0.0216
2022/2/15,93.28,95.81,96.26,92.06,378.25K,-0.0332
2022/2/16,94.81,93.49,96.07,91.11,393.79K,0.0164
2022/2/17,92.97,92.2,94.5,92.14,347.79K,-0.0194
2022/2/18,93.54,92.73,94.15,90.12,348.35K,0.0061
2022/2/21,95.39,94.29,97.4,92.57,217.04K,0.0198
2022/2/22,96.84,96.55,99.5,95.8,316.38K,0.0152
2022/2/23,96.84,96.65,98.71,95.81,238.63K,0
2022/2/24,99.08,98.08,105.79,97.56,167.79K,0.0231
2022/2/25,97.93,100.69,101.99,96,68.98K,-0.0116
2022/2/28,100.99,101.98,105.07,99.64,22.96K,0.0312
2022/3/1,104.97,98.43,107.67,98.3,492.51K,0.0394
2022/3/2,112.93,107.34,115.11,106.83,490.57K,0.0758
2022/3/3,110.46,115.27,119.84,109.4,452.52K,-0.0219
2022/3/4,118.11,114.23,118.98,109.62,334.41K,0.0693
2022/3/7,123.21,122.79,139.13,119.04,419.93K,0.0432
2022/3/8,127.98,124.56,133.15,121.31,469.99K,0.0387
2022/3/9,111.14,130.28,131.64,105.6,521.58K,-0.1316
2022/3/10,109.33,112.65,118.36,109,352.34K,-0.0163
2022/3/11,112.67,110.26,113.91,107.13,287.39K,0.0305
2022/3/14,106.9,113.15,113.15,103.49,265.91K,-0.0512
2022/3/15,99.91,105.34,105.71,97.44,318.12K,-0.0654
2022/3/16,98.02,99.14,103.7,96.93,246.82K,-0.0189
2022/3/17,106.64,98.61,107.5,97.75,200.95K,0.0879
2022/3/18,107.93,106.8,109.59,105.78,168.91K,0.0121
2022/3/21,115.62,107.5,116.8,107.06,196.49K,0.0712
2022/3/22,115.48,117.04,119.48,112.64,204.66K,-0.0012
2022/3/23,121.6,114.7,122.34,114.45,224.53K,0.053
2022/3/24,119.03,121.56,123.74,116.93,177.66K,-0.0211
2022/3/25,120.65,118.88,120.92,115.16,133.46K,0.0136
2022/3/28,112.48,119.9,119.9,109.06,150.82K,-0.0677
2022/3/29,110.23,110.1,114.83,104.84,93.68K,-0.02
2022/3/30,113.45,112,114.8,110.74,72.33K,0.0292
2022/3/31,107.91,112.81,112.94,106.5,8.68K,-0.0488
2022/4/1,104.39,105.25,106.24,102.35,238.62K,-0.0326
2022/4/4,107.53,104.08,108.68,102.89,218.68K,0.0301
2022/4/5,106.64,108.51,109.9,104.53,203.06K,-0.0083
2022/4/6,101.07,105.7,108.67,100.54,286.52K,-0.0522
2022/4/7,100.58,101.78,103.59,98.41,296.03K,-0.0048
2022/4/8,102.78,101.42,103.3,99.65,217.64K,0.0219
2022/4/11,98.48,103.21,103.3,97.57,238.69K,-0.0418
2022/4/12,104.64,99.35,105.6,98.9,273.95K,0.0626
2022/4/13,108.78,105.44,109,104.06,247.26K,0.0396
2022/4/14,111.7,108.29,112.39,106.63,210.18K,0.0268
2022/4/18,113.16,112.32,114.84,110.71,132.15K,0.0131
2022/4/19,107.25,112.85,114.21,106.74,239.91K,-0.0522
2022/4/20,106.8,108.1,109,104.65,243.67K,-0.0042
2022/4/21,108.33,107.07,109.8,106.76,185.38K,0.0143
2022/4/22,106.65,108.26,108.76,105.54,125.87K,-0.0155
2022/4/25,102.32,105.49,105.85,99.48,156.35K,-0.0406
2022/4/26,104.99,102.53,106.2,101.08,138.20K,0.0261
2022/4/27,105.32,105.45,106.33,103.27,67.06K,0.0031
2022/4/28,107.59,104.96,108,103.29,73.32K,0.0216
2022/4/29,109.34,107.55,110.3,107,12.02K,0.0163
2022/5/2,107.58,106.3,108.46,103.1,151.34K,-0.0161
2022/5/3,104.97,107.61,108.32,104.62,184.20K,-0.0243
2022/5/4,110.14,105.91,111,105.46,241.68K,0.0493
2022/5/5,110.9,110.55,114,109.2,279.88K,0.0069
2022/5/6,112.39,111.27,113.5,109.87,249.83K,0.0134
2022/5/9,105.94,112.94,113.2,105,302.17K,-0.0574
2022/5/10,102.46,105.5,106.96,101.54,327.99K,-0.0328
2022/5/11,107.51,101.51,108.29,101.3,287.53K,0.0493
2022/5/12,107.45,107.67,108.71,104.69,264.26K,-0.0006
2022/5/13,111.55,108.25,111.69,107.79,220.32K,0.0382
2022/5/16,114.24,111.67,114.79,108.84,218.44K,0.0241
2022/5/17,111.93,114.42,115.69,111.09,277.89K,-0.0202
2022/5/18,109.11,112.91,114.15,108.35,245.04K,-0.0252
2022/5/19,112.04,108.22,112.31,105.7,272.35K,0.0269
2022/5/20,112.55,111.45,113.23,110.52,180.89K,0.0046
2022/5/23,113.42,112.85,114.34,111.86,196.51K,0.0077
2022/5/24,113.56,112.79,114.63,111.7,191.73K,0.0012
2022/5/25,114.03,114.12,115.3,113.01,152.33K,0.0041
2022/5/26,117.4,114.35,118,113.85,123.58K,0.0296
2022/5/27,119.43,117.52,119.72,116.63,81.16K,0.0173
2022/5/30,121.67,119.28,122.01,118.98,42.41K,0.0188
2022/5/31,122.84,122.2,125.28,121.6,11.56K,0.0096
2022/6/1,116.29,116.08,118.57,115.4,242.16K,-0.0533
2022/6/2,117.61,115.02,118.46,112.45,216.90K,0.0114
2022/6/3,119.72,118.22,121.45,116.02,141.66K,0.0179
2022/6/6,119.51,121.55,121.95,118.77,204.09K,-0.0018
2022/6/7,120.57,119.94,121.37,118.55,276.72K,0.0089
2022/6/8,123.58,120.65,124.4,120.45,256.29K,0.025
2022/6/9,123.07,123.6,124.34,122.5,218.98K,-0.0041
2022/6/10,122.01,122.89,124.33,119.81,294.28K,-0.0086
2022/6/13,122.27,121.94,123.7,118.93,257.11K,0.0021
2022/6/14,121.17,121.88,125.19,118.91,291.26K,-0.009
2022/6/15,118.51,120.79,121.88,117.75,231.06K,-0.022
2022/6/16,119.81,119.65,120.29,115.56,276.68K,0.011
2022/6/17,113.12,119.13,121.25,111.72,319.91K,-0.0558
2022/6/20,114.13,113.88,114.5,111.52,161.60K,0.0089
2022/6/21,114.65,114.21,116.25,114.02,204.03K,0.0046
2022/6/22,111.74,114.4,114.45,107.03,293.05K,-0.0254
2022/6/23,110.05,109.58,112.7,108.04,195.92K,-0.0151
2022/6/24,113.12,110.04,114,109.24,134.18K,0.0279
2022/6/27,115.09,112.92,116.08,111.26,118.10K,0.0174
2022/6/28,117.98,115.74,118.27,115.72,65.76K,0.0251
2022/6/29,116.26,117.96,120.41,115.2,54.34K,-0.0146
2022/6/30,114.81,116.01,116.67,114.22,7.11K,-0.0125
2022/7/1,111.63,109.49,112.45,108.03,235.42K,-0.0277
2022/7/4,113.5,111.65,114,110.4,100.59K,0.0168
2022/7/5,102.77,113.54,114.75,101.1,428.84K,-0.0945
2022/7/6,100.69,104.88,105.85,98.5,350.30K,-0.0202
2022/7/7,104.65,100.14,106.35,98.5,279.66K,0.0393
2022/7/8,107.02,104.65,107.47,103.67,238.35K,0.0226
2022/7/11,107.1,107,107.7,103.64,194.66K,0.0007
2022/7/12,99.49,106.25,106.56,98.9,275.62K,-0.0711
2022/7/13,99.57,98.5,101.21,98.28,247.47K,0.0008
2022/7/14,99.1,99.43,100.39,94.5,318.79K,-0.0047
2022/7/15,101.16,99.91,102.64,98.17,218.09K,0.0208
2022/7/18,106.27,100.82,106.48,99.46,213.50K,0.0505
2022/7/19,107.35,105.74,107.61,103.6,226.40K,0.0102
2022/7/20,106.92,107.07,107.45,105.08,186.70K,-0.004
2022/7/21,103.86,106.49,106.78,101.5,228.70K,-0.0286
2022/7/22,103.2,103.86,105.72,101.9,137.24K,-0.0064
2022/7/25,105.15,103.85,105.38,101.64,123.67K,0.0189
2022/7/26,104.4,104.73,107.34,103.99,110.00K,-0.0071
2022/7/27,106.62,104.75,107.86,103.73,77.69K,0.0213
2022/7/28,107.14,107.31,109.06,106,80.84K,0.0049
2022/7/29,110.01,108,110.67,106.9,9.13K,0.0268
2022/8/1,100.03,103.92,104.43,99.09,272.84K,-0.0907
2022/8/2,100.54,99.87,102.41,98.49,229.68K,0.0051
2022/8/3,96.78,99.73,102.41,96.5,293.11K,-0.0374
2022/8/4,94.12,97.1,97.66,93.2,264.81K,-0.0275
2022/8/5,94.92,93.65,96.4,92.78,216.20K,0.0085
2022/8/8,96.65,94.51,96.82,93.01,201.25K,0.0182
2022/8/9,96.31,96.36,98.4,94.9,219.67K,-0.0035
2022/8/10,97.4,96.34,97.97,93.63,247.74K,0.0113
2022/8/11,99.6,97.04,100.17,96.63,219.42K,0.0226
2022/8/12,98.15,99.33,100.38,96.94,188.13K,-0.0146
2022/8/15,95.1,97.72,98.17,92.78,217.57K,-0.0311
2022/8/16,92.34,94.01,95.95,91.71,217.75K,-0.029
2022/8/17,93.65,92.67,94.48,91.51,199.19K,0.0142
2022/8/18,96.59,93.29,97.42,93.05,208.55K,0.0314
2022/8/19,96.72,96.68,97.88,94.25,178.60K,0.0013
2022/8/22,95.81,95.36,96.66,92,186.81K,-0.0094
2022/8/23,99.17,96,99.41,95.81,198.99K,0.0351
2022/8/24,100.34,99.3,100.89,98.27,233.92K,0.0118
2022/8/25,98.46,100.79,101.53,98.23,223.98K,-0.0187
2022/8/26,99.01,98.95,100.1,96.96,277.48K,0.0056
2022/8/29,102.93,98.96,103.22,98.25,211.63K,0.0396
2022/8/30,97.84,102.88,103.48,96.63,356.10K,-0.0495
2022/8/31,96.49,99.79,100.46,95.44,10.07K,-0.0138
2022/9/1,92.36,95.18,95.68,91.81,297.55K,-0.0428
2022/9/2,93.02,92.66,95.32,92.65,210.00K,0.0071
2022/9/5,95.74,93.02,96.99,93.02,144.26K,0.0292
2022/9/6,92.83,95.19,95.94,92.3,225.95K,-0.0304
2022/9/7,88,92.81,93.8,87.4,300.20K,-0.052
2022/9/8,88.62,87.98,89.82,87.25,0,0.007
2022/9/9,92.84,88.62,93.12,88.6,202.94K,0.0476
2022/9/12,94,92.54,95.17,91.21,210.43K,0.0125
2022/9/13,93.17,94.31,95.53,91.05,275.17K,-0.0088
2022/9/14,94.1,93.4,95.8,91.93,259.90K,0.01
2022/9/15,90.84,94.65,94.66,90.03,257.62K,-0.0346
2022/9/16,91.35,90.51,92.66,90.25,197.48K,0.0056
2022/9/19,92,91.43,92.57,88.5,138.53K,0.0071
2022/9/20,89.4,90.85,91.57,88.56,209.16K,-0.0283
2022/9/21,88.8,89.57,92.23,88.31,247.64K,-0.0067
2022/9/22,89.53,88.83,91.74,88.28,219.29K,0.0082
2022/9/23,85.03,89.57,89.88,84.55,304.20K,-0.0503
2022/9/26,82.86,85.54,86.45,82.44,257.04K,-0.0255
2022/9/27,84.87,82.84,85.84,82.81,252.52K,0.0243
2022/9/28,89.32,86.14,89.47,84.26,74.33K,0.0524
2022/9/29,88.49,88.97,90.12,87.33,57.86K,-0.0093
2022/9/30,87.96,88.53,89.8,87.69,5.89K,-0.006
2022/10/3,88.86,86.35,89.82,86.35,270.69K,0.0102
2022/10/4,91.8,88.81,92.4,88.78,282.38K,0.0331
2022/10/5,93.37,91.89,93.96,90.76,296.20K,0.0171
2022/10/6,94.42,93.71,94.98,92.72,207.53K,0.0112
2022/10/7,97.92,94.71,98.58,93.94,269.40K,0.0371
2022/10/10,96.19,98.75,98.75,95.6,215.37K,-0.0177
2022/10/11,94.29,95.93,96.46,93.11,259.03K,-0.0198
2022/10/12,92.45,93.72,95.17,91.56,257.66K,-0.0195
2022/10/13,94.57,92.49,94.92,91.08,280.52K,0.0229
2022/10/14,90.15,92.81,93.45,89.81,153.89K,-0.0467
2022/10/17,90.18,90.2,91.79,89.49,163.34K,0.0003
