日期,收盘,开盘,高,低,涨跌幅,交易量
2022/3/1,4.573,4.408,4.627,4.34,3.88%,112.55
2022/3/2,4.762,4.6,4.911,4.6,4.13%,141.69
2022/3/3,4.722,4.795,4.936,4.628,-0.84%,137.15
2022/3/4,5.016,4.75,5.045,4.728,6.23%,125.39
2022/3/7,4.833,5.041,5.184,4.781,-3.65%,130.86
2022/3/8,4.527,4.818,4.882,4.507,-6.33%,159.17
2022/3/9,4.526,4.569,4.625,4.45,-0.02%,95.13
2022/3/10,4.631,4.52,4.671,4.499,2.32%,81.81
2022/3/11,4.725,4.657,4.797,4.622,2.03%,84.51
2022/3/14,4.658,4.705,4.759,4.506,-1.42%,73.96
2022/3/15,4.568,4.679,4.682,4.459,-1.93%,86.94
2022/3/16,4.748,4.625,4.776,4.594,3.94%,80.52
2022/3/17,4.99,4.747,5.001,4.691,5.10%,93.84
2022/3/18,4.863,4.93,4.957,4.811,-2.55%,67.27
2022/3/21,4.9,4.909,4.976,4.748,0.76%,75.46
2022/3/22,5.187,4.948,5.204,4.877,5.86%,122.75
2022/3/23,5.232,5.147,5.33,5.092,0.87%,74.54
2022/3/24,5.401,5.115,5.464,5.063,3.23%,84.23
2022/3/25,5.571,5.401,5.577,5.345,3.15%,29.47
2022/3/28,5.508,5.551,5.652,5.419,-1.13%,33.91
2022/3/29,5.336,5.453,5.491,5.255,-3.12%,2.27
2022/3/30,5.605,5.329,5.624,5.27,5.04%,117.85
2022/3/31,5.642,5.575,5.832,5.454,0.66%,159.72
2022/4/1,5.72,5.627,5.778,5.505,1.38%,178.52
2022/4/4,5.712,5.745,5.857,5.65,-0.14%,137.18
2022/4/5,6.032,5.782,6.201,5.771,5.60%,158.22
2022/4/6,6.029,6.078,6.394,6,-0.05%,166.72
2022/4/7,6.359,6.116,6.44,6,5.47%,199.51
2022/4/8,6.278,6.411,6.538,6.257,-1.27%,188.34
2022/4/11,6.643,6.394,6.722,6.247,5.81%,177.96
2022/4/12,6.68,6.705,6.947,6.6,0.56%,234.25
2022/4/13,6.997,6.704,7.091,6.652,4.75%,210.55
2022/4/14,7.3,7.046,7.346,6.95,4.33%,214.22
2022/4/18,7.82,7.367,8.065,7.365,7.12%,191.08
2022/4/19,7.176,7.776,7.939,6.954,-8.24%,237
2022/4/20,6.937,7.253,7.41,6.791,-3.33%,157.96
2022/4/21,6.957,6.825,7.146,6.703,0.29%,145.26
2022/4/22,6.534,6.938,7.08,6.438,-6.08%,80.6
2022/4/25,6.669,6.414,6.966,6.345,2.07%,32.52
2022/4/26,6.85,6.836,7.05,6.662,2.71%,41.41
2022/4/27,7.339,7.009,7.524,6.956,7.14%,0
2022/4/28,6.888,7.395,7.422,6.879,-6.15%,139.57
2022/4/29,7.244,6.939,7.335,6.805,5.17%,109.24
2022/5/2,7.475,7.412,7.617,7.219,3.19%,110.92
2022/5/3,7.954,7.54,8.169,7.539,6.41%,153.34
2022/5/4,8.415,7.815,8.474,7.729,5.80%,132.32
2022/5/5,8.783,8.355,8.913,8.117,4.37%,160.16
2022/5/6,8.043,8.843,8.996,7.957,-8.43%,168.3
2022/5/9,7.026,7.843,8.287,6.962,-12.64%,202.62
2022/5/10,7.385,7.03,7.463,6.43,5.11%,185.46
